symbol,timestamp,open,high,low,close,volume,transactions
O:SPXW241101C05800000,1730480700000,0.07,0.15,0.05,0.1,227,78
O:SPXW241101C05800000,1730481000000,0.1,0.15,0.05,0.11,149,48
O:SPXW241101C05800000,1730481300000,0.12,0.15,0.1,0.15,138,41
O:SPXW241101C05800000,1730481600000,0.15,0.2,0.1,0.1,219,50
O:SPXW241101C05800000,1730481900000,0.15,0.15,0.1,0.12,43,25
O:SPXW241101C05800000,1730482200000,0.12,0.15,0.05,0.05,432,95
O:SPXW241101C05800000,1730482500000,0.05,0.15,0.05,0.07,226,73
O:SPXW241101C05800000,1730482800000,0.07,0.1,0.05,0.07,229,31
O:SPXW241101C05800000,1730483100000,0.1,0.1,0.05,0.08,291,43
O:SPXW241101C05800000,1730483400000,0.07,0.1,0.05,0.05,428,21
O:SPXW241101C05800000,1730483700000,0.07,0.08,0.05,0.06,863,28
O:SPXW241101C05800000,1730484000000,0.07,0.1,0.05,0.1,74,39
O:SPXW241101C05800000,1730484300000,0.07,0.1,0.05,0.07,199,38
O:SPXW241101C05800000,1730484600000,0.07,0.07,0.05,0.05,151,65
O:SPXW241101C05800000,1730484900000,0.05,0.05,0.05,0.05,699,215
O:SPXW241101C05800000,1730485200000,0.05,0.05,0.05,0.05,33,13
O:SPXW241101C05800000,1730485500000,0.05,0.05,0.05,0.05,51,27
O:SPXW241101C05800000,1730485800000,0.05,0.07,0.05,0.05,660,37
O:SPXW241101C05800000,1730486100000,0.05,0.05,0.05,0.05,13,9
O:SPXW241101C05800000,1730486400000,0.05,0.05,0.05,0.05,4,3
O:SPXW241101C05800000,1730486700000,0.05,0.05,0.05,0.05,36,21
O:SPXW241101C05800000,1730487000000,0.05,0.05,0.05,0.05,30,15
O:SPXW241101C05800000,1730487300000,0.05,0.05,0.05,0.05,12,10
O:SPXW241101C05800000,1730487600000,0.05,0.05,0.05,0.05,27,12
O:SPXW241101C05800000,1730487900000,0.05,0.05,0.05,0.05,8,8
O:SPXW241101C05800000,1730488200000,0.05,0.05,0.05,0.05,28,7
O:SPXW241101C05800000,1730488500000,0.05,0.05,0.05,0.05,1765,24
O:SPXW241101C05800000,1730488800000,0.05,0.05,0.05,0.05,5,5
O:SPXW241101C05800000,1730489100000,0.05,0.05,0.05,0.05,10,6
O:SPXW241101C05800000,1730489400000,0.05,0.05,0.05,0.05,12,3
O:SPXW241101C05800000,1730489700000,0.05,0.05,0.05,0.05,1,1
O:SPXW241101C05800000,1730490000000,0.05,0.05,0.05,0.05,16,11
O:SPXW241101C05800000,1730490600000,0.05,0.05,0.05,0.05,56,16
O:SPXW241101C05800000,1730490900000,0.05,0.05,0.05,0.05,2,1
O:SPXW241105P05780000,1730124600000,26.82,26.82,26.82,26.82,2,1
O:SPXW241105P05780000,1730125500000,25.95,25.95,24.4,24.7,6,4
O:SPXW241105P05780000,1730125800000,24.48,24.48,24.48,24.48,10,3
O:SPXW241105P05780000,1730127300000,24.76,24.76,24.76,24.76,2,1
O:SPXW241105P05780000,1730127600000,27.2,27.2,27.2,27.2,1,1
O:SPXW241105P05780000,1730128800000,26.3,26.3,26.3,26.3,1,1
O:SPXW241105P05780000,1730129400000,28.2,28.2,28.2,28.2,1,1
O:SPXW241105P05780000,1730129700000,28.47,28.47,28.45,28.45,10,2
O:SPXW241105P05780000,1730131200000,30.28,30.28,30.28,30.28,1,1
O:SPXW241105P05780000,1730133000000,27.6,27.6,27.6,27.6,1,1
O:SPXW241105P05780000,1730133900000,27.45,27.45,27.45,27.45,1,1
O:SPXW241105P05780000,1730137800000,25.5,25.5,25.5,25.5,1,1
O:SPXW241105P05780000,1730139000000,26.22,26.27,26.17,26.17,8,3
O:SPXW241105P05780000,1730139300000,26.17,26.17,26.17,26.17,2,1
O:SPXW241105P05780000,1730141700000,26.95,26.95,26.95,26.95,1,1
O:SPXW241105P05780000,1730143200000,27.5,27.5,27.5,27.5,1,1
O:SPXW241105P05780000,1730144400000,26.3,26.3,26.3,26.3,10,1
O:SPXW241105P05780000,1730144700000,26.98,26.98,26.93,26.93,4,3
O:SPXW241105P05780000,1730145300000,29.17,29.65,29.17,29.65,4,4
O:SPXW241105P05780000,1730145600000,29.23,29.3,29.15,29.3,18,3
O:SPXW241105P05780000,1730208600000,35.0,35.0,35.0,35.0,2,1
O:SPXW241105P05780000,1730209200000,36.08,36.08,34.0,34.0,5,2
O:SPXW241105P05780000,1730209500000,33.5,33.5,33.5,33.5,2,1
O:SPXW241105P05780000,1730209800000,35.0,35.0,34.42,34.42,5,3
O:SPXW241105P05780000,1730210100000,32.0,32.0,31.75,31.75,6,2
O:SPXW241105P05780000,1730210400000,30.14,30.14,30.14,30.14,1,1
O:SPXW241105P05780000,1730211600000,25.55,25.55,25.55,25.55,2,1
O:SPXW241105P05780000,1730213400000,26.8,26.8,26.8,26.8,1,1
O:SPXW241105P05780000,1730213700000,26.43,26.43,26.17,26.17,3,3
O:SPXW241105P05780000,1730214000000,25.72,25.72,25.72,25.72,2,1
O:SPXW241105P05780000,1730215200000,26.2,26.2,26.2,26.2,1,1
O:SPXW241105P05780000,1730217600000,24.88,24.95,24.18,24.95,4,3
O:SPXW241105P05780000,1730218500000,24.0,24.0,24.0,24.0,5,1
O:SPXW241105P05780000,1730219100000,25.0,25.02,25.0,25.02,5,3
O:SPXW241105P05780000,1730219700000,25.2,25.2,25.2,25.2,2,1
O:SPXW241105P05780000,1730220300000,24.8,24.8,24.8,24.8,9,1
O:SPXW241105P05780000,1730221500000,21.7,21.7,21.7,21.7,1,1
O:SPXW241105P05780000,1730221800000,22.3,22.3,22.3,22.3,12,1
O:SPXW241105P05780000,1730222100000,22.07,22.07,22.07,22.07,1,1
O:SPXW241105P05780000,1730223600000,24.31,24.31,24.31,24.31,2,1
O:SPXW241105P05780000,1730226000000,22.7,22.7,22.7,22.7,1,1
O:SPXW241105P05780000,1730226300000,21.9,21.9,21.9,21.9,1,1
O:SPXW241105P05780000,1730227200000,21.52,21.52,21.52,21.52,8,3
O:SPXW241105P05780000,1730227800000,21.7,21.84,21.65,21.84,6,4
O:SPXW241105P05780000,1730228100000,21.7,21.71,21.7,21.71,5,2
O:SPXW241105P05780000,1730228400000,21.8,21.97,21.8,21.97,3,3
O:SPXW241105P05780000,1730229000000,21.89,21.89,21.89,21.89,1,1
O:SPXW241105P05780000,1730229600000,21.95,21.95,21.95,21.95,3,3
O:SPXW241105P05780000,1730229900000,21.2,21.2,21.2,21.2,1,1
O:SPXW241105P05780000,1730231100000,22.28,22.3,22.28,22.3,12,2
O:SPXW241105P05780000,1730231400000,24.1,24.1,24.1,24.1,1,1
O:SPXW241105P05780000,1730231700000,24.8,24.8,24.45,24.45,2,2
O:SPXW241105P05780000,1730295000000,24.75,24.75,24.75,24.75,3,1
O:SPXW241105P05780000,1730295900000,26.65,26.65,26.61,26.61,3,2
O:SPXW241105P05780000,1730296800000,21.0,21.0,21.0,21.0,1,1
O:SPXW241105P05780000,1730297100000,20.0,20.0,20.0,20.0,1,1
O:SPXW241105P05780000,1730297400000,19.8,19.8,19.8,19.8,1,1
O:SPXW241105P05780000,1730297700000,19.1,19.1,19.1,19.1,1,1
O:SPXW241105P05780000,1730298300000,19.77,19.77,19.77,19.77,1,1
O:SPXW241105P05780000,1730298900000,19.2,19.2,19.2,19.2,5,1
O:SPXW241105P05780000,1730299200000,18.93,18.93,18.93,18.93,10,2
O:SPXW241105P05780000,1730300100000,21.3,21.3,21.3,21.3,2,1
O:SPXW241105P05780000,1730301000000,21.16,21.16,21.16,21.16,1,1
O:SPXW241105P05780000,1730301900000,18.6,18.6,18.6,18.6,3,1
O:SPXW241105P05780000,1730308500000,20.69,20.69,20.69,20.69,1,1
O:SPXW241105P05780000,1730308800000,20.75,20.75,20.75,20.75,1,1
O:SPXW241105P05780000,1730309700000,25.0,25.0,25.0,25.0,1,1
O:SPXW241105P05780000,1730310300000,24.29,24.29,24.29,24.29,1,1
O:SPXW241105P05780000,1730314800000,25.0,25.0,25.0,25.0,2,2
O:SPXW241105P05780000,1730317200000,25.4,25.4,25.4,25.4,1,1
O:SPXW241105P05780000,1730317500000,26.0,26.0,26.0,26.0,1,1
O:SPXW241105P05780000,1730318100000,27.61,28.25,27.61,28.25,2,2
O:SPXW241105P05780000,1730381400000,46.37,48.44,46.37,48.44,3,2
O:SPXW241105P05780000,1730381700000,45.51,45.9,44.1,45.6,999,46
O:SPXW241105P05780000,1730382000000,45.6,46.0,44.5,45.5,2344,68
O:SPXW241105P05780000,1730382300000,49.1,50.3,49.1,50.3,50,3
O:SPXW241105P05780000,1730382600000,55.4,55.4,55.4,55.4,1,1
O:SPXW241105P05780000,1730382900000,53.96,55.3,53.1,55.3,15,5
O:SPXW241105P05780000,1730383200000,55.4,55.4,55.4,55.4,1,1
